Name, Events, Unique Decks, Total Points, Average Points, Winrate, Trophies, Top Cuts, 2-X or better Count, Longest Positive Record Streak, Most Played Decks
Dentro, 9, 4, 33, 3.67, 0.41, 1, 1, 1, 1, "Grixis Tempo, Gruul Cradlehoof, Gruul Ramp"
Robin Sorensen, 2, 2, 6, 3.00, 0.33, 0, 0, 1, 1, "Lotus Breach Storm, WUBG Seeker Initiative"
JeTheWeary, 1, 1, 9, 9.00, 0.60, 0, 1, 1, 1, "Aluren"
Cat_Island, 5, 2, 15, 3.00, 0.33, 0, 0, 1, 1, "Boros Equipment, Gruul Cradlehoof"
Praenomen, 3, 1, 12, 4.00, 0.44, 0, 0, 1, 1, "Death and Taxes"
Macintose, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "4C Initiative"
solemn_storm, 2, 2, 9, 4.50, 0.50, 0, 0, 1, 1, "Gruul Aggro, Jeskai Midrange"
Demonic tutor, 2, 2, 6, 3.00, 0.33, 0, 0, 1, 1, "Unknown, Abzan Lands Reanimator"
Lance larsen, 3, 2, 9, 3.00, 0.33, 0, 0, 1, 1, "Boros Midrange, Paradox Academy"
Nanderg, 8, 4, 12, 1.50, 0.17, 0, 0, 1, 1, "Aluren, WUBG Food Chain, 5C Cascade"
Xeaji, 4, 3, 15, 3.75, 0.42, 1, 1, 1, 1, "Flying Men, Mono Black Midrange, Gruul Monsters"
Qzzyozzy, 3, 2, 15, 5.00, 0.50, 0, 1, 1, 1, "Mono White Martyr Proc, Orzhov Martyr Proc"
Some user, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Atraxa and Taxes"
Uberlegen, 5, 1, 18, 3.60, 0.40, 0, 0, 1, 1, "Paradox Academy"
Theonewhoknocks, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Jeskai Black"
Rosa, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Jund Midrange"
Machineman10k, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Izzet Tempo"
Gerrimeister, 2, 2, 6, 3.00, 0.33, 0, 0, 0, 0, "Blue Moon, Medium Red"
Pickleplop, 2, 2, 3, 1.50, 0.17, 0, 0, 0, 0, "Abzan Lands, Jeskai Welder"
Ashtoreth, 2, 2, 3, 1.50, 0.17, 0, 0, 0, 0, "Esper Control, Esper Initiative"
Dynethor, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Bant Enchantress"
Yucca, 3, 1, 6, 2.00, 0.22, 0, 0, 0, 0, "Death and Taxes"
Thunder_Farts, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Jeskai Midrange"
Kaleb Gloriouswolfman, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Orzhov Tokens"
Odin, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "4C Winota"
NotFreduardo, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Esper Initiative"
Codypsizzle, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Naya Initiative"
Cpt_camel, 1, 1, 1, 1.00, 0.11, 0, 0, 0, 0, "Grixis Reanimator"
Jingoistical, 2, 2, 4, 2.00, 0.22, 0, 0, 0, 0, "Eggs, Rakdos Goblins"
Sean barry, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Dimir Discard"
Forceofwill, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "5C Legends"
Zoy, 4, 2, 6, 1.50, 0.17, 0, 0, 0, 0, "WUBG Seeker Walk, Eggs"
That guy, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "WURG Pod"
Elijah, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "WUBR Welder"
Idiotic avocado, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Unknown"
Falseblu, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "WURG Seeker Walk"
Morganwyrd, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Temur Moon"
Jdizl, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Big Red"
A_shadybadger, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Grixis Reanimator"
Ketzol, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Azorius Control"
Notgene, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Doomsday Breach"
