Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
Boros Aggro, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WR, "aggro", ""
5C Superfriends Omnitell, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUBRG, "combo", ""
Grixis Welder, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UBR, "combo, midrange", ""
Bant Nadu, 1, 1, 2, 2.00, 0.22, 0.22, 0, 0, 0, WUG, "midrange, combo", ""
Grixis Artifact Midrange, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, UBR, "midrange", ""
Esper Reanimator, 1, 1, 4, 4.00, 0.44, 0.44, 0, 0, 0, WUB, "combo", ""
Abzan Time Vault, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WBG, "combo", ""
Orzhov Necro, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WB, "midrange", ""
5C Aggro, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBRG, "aggro", ""
Abzan Midrange, 4, 2, 10, 2.50, 0.28, 0.23, 0, 0, 0, WBG, "midrange", "Abzan Nightmare, Abzan Delirium"
5C Paradoxical Outcome, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUBRG, "combo", ""
Boros Midrange, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WR, "midrange", ""
WUBG Midrange, 2, 2, 3, 1.50, 0.17, 0.25, 0, 0, 0, WUBG, "midrange", ""
Bant Flash Rector, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUG, "combo", ""
Dimir Reanimator, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, UB, "combo", ""
Temur Midrange, 2, 1, 3, 1.50, 0.17, 0.00, 0, 0, 0, URG, "midrange", "RUG Midrange"
Dimir Tempo, 2, 2, 6, 3.00, 0.33, 0.20, 0, 0, 0, UB, "tempo", ""
Red Deck Wins, 2, 2, 3, 1.50, 0.17, 0.17, 0, 0, 0, R, "aggro", "Burn, Mono Red Aggro, RDW"
Bant Seeker Walk, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, WUG, "combo, midrange", ""
The Rock, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, BG, "midrange", "Golgari Midrange"
Pattern Rector, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WBG, "combo", "Sandy B"
Bant Painter Control, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "combo, control", ""
Temur Tempo, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, URG, "tempo", ""
Sultai Reanimator Control, 1, 1, 3, 3.00, 0.33, 0.50, 0, 0, 0, UBG, "combo, control", ""
Selesnya Aggro, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WG, "aggro", ""
Bant Control, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "control", ""
Sultai Storm, 2, 1, 3, 1.50, 0.17, 0.17, 0, 0, 0, UBG, "combo", ""
Grixis Tinker, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, UBR, "combo", ""
Amulet Titan, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, G, "combo", ""
Jeskai Artifact Midrange, 1, 1, 1, 1.00, 0.11, 0.17, 0, 0, 0, WUR, "midrange", ""
Golgari Yawgmoth, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, BG, "combo", ""
Orzhov Midrange, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WB, "midrange", ""
4C Cascade, 1, 1, 3, 3.00, 0.33, 0.50, 0, 0, 0, , "combo", ""
